"","Neighborhood","Latitude","Longitude","cluster"
"1","Roxborough-Manayunk",40.043262,-75.2304038,1
"2","North Philadelphia",40.0067623,-75.1428632,2
"3","Northwest Philadelphia",40.0560419,-75.2128996,1
"4","Garden Court",39.9527874,-75.2201933,3
"5","Spruce Hill",39.9527173,-75.2099821,3
"6","South Philadelphia",39.9093147,-75.1662121,4
"7","Center City",39.9509036,-75.1574567,5
"8","Manayunk",40.0260015,-75.2231106,6
"9","East Falls",40.0157423,-75.1924755,6
"10","Northeast Philadelphia",40.068629,-75.0026972,7
"11","University City",39.9504406,-75.1924755,3
"12","West Philadelphia",39.9757092,-75.2128996,8
"13","Germantown",40.028521,-75.1749671,2
"14","Rittenhouse Square",39.9494655,-75.1718643,9
"15","Southwest Center City",39.9424484,-75.1793444,9
"16","South Philadelphia West",39.9166242,-75.1837216,4
"17","Gayborhood",39.9476405,-75.1600032,5
"18","Chestnut Hill",40.0703334,-75.2070644,1
"19","Fishtown",39.9716592,-75.1280477,10
"20","Port Richmond",39.9855402,-75.1037212,10
"21","Southwest Philadelphia",39.8982992,-75.2362381,11
"22","Fairmount",39.9675002,-75.1691305,12
"23","Mayfair",40.037558,-75.0523534,13
"24","Midtown Village",39.9494949,-75.1611048,5
"25","Washington Square West",39.944812,-75.1589159,5
"26","Oak Lane/ East Oak Lane",40.0525304,-75.1282683,14
"27","Cobbs Creek",39.9543702,-75.2420722,8
"28","Fairmount Park",39.988503,-75.1953934,12
"29","Powelton Village",39.9610248,-75.1917461,3
"30","Old City",39.952084,-75.1407082,5
"31","Carroll Park",39.97227,-75.2347796,8
"32","Northern Liberties",39.9636917,-75.1399443,5
"33","Fox Chase/ Burholme",40.0736106,-75.0786357,13
"34","Kensington",39.9817259,-75.1281195,10
"35","Queen Village",39.9386435,-75.1501601,5
"36","East Germantown",40.0428157,-75.1691305,2
"37","Angora",39.9462912,-75.23803,8
"38","SW Cedar Park",39.9466591,-75.2165465,3
"39","Chinatown",39.9552054,-75.1542776,5
"40","Somerton",40.1245213,-75.0085399,15
"41","East Passyunk Crossing",39.9265329,-75.1632937,9
"42","Point Breeze",39.9338417,-75.1808035,9
"43","Cedar Park",39.9502743,-75.2201933,3
"44","Brewerytown",39.9790688,-75.1808035,12
"45","West Oak Lane",40.0598361,-75.145782,14
"46","Bella Vista",39.9391811,-75.1594129,9
"47","West Mount Airy",40.0487466,-75.1953934,1
"48","Overbrook",39.9845206,-75.2420722,8
"49","Olney-Oak Lane",40.0298088,-75.1257809,14
"50","Haddington",39.9665564,-75.2391552,8
"51","Grays Ferry",39.9368076,-75.1939345,9
"52","West Parkside",39.9779129,-75.2201933,8
"53","Millbrook",40.0805942,-74.977214,7
"54","Newbold",39.9312544,-75.1705897,9
"55","Juniata Park/ Feltonville",40.0108574,-75.1165915,10
"56","Harrowgate",39.9979721,-75.1043581,10
"57","Frankford",40.0134124,-75.0786357,16
"58","Bridesburg",39.9997138,-75.0698754,16
"59","Passyunk Square",39.9326266,-75.1618345,9
"60","Wynnefield",39.995186,-75.2274866,8
"61","West Kensington",39.9894901,-75.1355659,10
"62","Tioga/ Nicetown",40.0119395,-75.1632937,2
"63","Olney",40.039606,-75.1253492,14
"64","Center City West",39.9513597,-75.1705897,9
"65","Kingsessing",39.9391535,-75.221652,3
"66","Hunting Park",40.0146739,-75.145782,2
"67","Pennsport",39.9292755,-75.145782,5
"68","Graduate Hospital",39.9424484,-75.1793444,9
"69","Center City East",39.950142,-75.1516194,5
"70","Society Hill",39.9432886,-75.1472414,5
"71","Fitler Square",39.9474746,-75.1793444,9
"72","Hawthorne",39.9398236,-75.1640233,9
"73","Roxborough",40.0548134,-75.2420722,1
"74","Morrell Park",40.0747038,-74.9892503,7
"75","Bustleton",40.0990803,-75.0435916,15
"76","Walnut Hill",39.9549215,-75.2172758,3
"77","Holmesburg",40.035837,-75.0202247,13
"78","West Powelton",39.9605638,-75.2026879,3
"79","Logan/ Ogontz/ Fern Rock",40.0326222,-75.1487007,2
"80","Francisville",39.9703549,-75.1669417,12
"81","Rhawnhurst",40.0605126,-75.0552739,13
"82","Packer Park",39.9088606,-75.1782188,4
"83","Academy Garden",40.06167,-74.99667,7
"84","Wissahickon",40.0187059,-75.2056056,6
